1|1|Shampoo|166.41|9.32|0|1.77|2|143|1
2|1|Cepillo|369.19|3.57|1|0.55|3|57|1
3|1|Pasta dental|395.64|5.19|0|3.03|3|39|1
4|1|Desodorante|481.10|1.60|0|0.33|2|62|1
5|1|Toallitas|325.05|5.53|0|3.90|2|69|1
6|1|Gel|81.68|3.62|0|4.87|3|128|1
7|1|Crema|151.42|6.46|1|2.06|2|31|1
8|1|Jabón líquido|325.58|3.44|0|1.05|3|70|1
9|1|Acondicionador|132.89|6.72|0|1.27|3|50|1
10|1|Rasuradora|251.69|7.46|0|0.97|3|124|1
11|2|Pelota|251.61|4.41|0|0.49|2|118|1
12|2|Rompecabezas|462.70|0.44|1|2.14|2|45|1
13|2|Carrito|327.50|8.71|0|0.59|3|120|1
14|2|Muñeca|114.31|8.03|1|0.64|3|118|1
15|2|Bloques|463.79|4.91|1|3.37|2|26|1
16|2|Yoyo|112.72|2.15|1|3.97|3|84|1
17|2|Lego|424.79|7.12|1|2.18|3|30|1
18|2|Dinosaurio|221.38|2.62|0|2.88|2|135|1
19|2|Robot|373.02|1.18|1|3.83|3|103|1
20|2|Pistola de agua|55.22|8.42|1|2.74|3|123|1
21|3|Audífonos|475.79|0.32|0|3.29|3|82|1
22|3|Mouse|211.21|8.74|0|2.86|2|114|1
23|3|Teclado|347.79|6.02|1|1.88|2|41|1
24|3|Cargador|224.82|7.56|0|3.39|3|85|1
25|3|Cable USB|85.97|4.33|0|2.67|3|25|1
26|3|Bocina|151.02|0.41|0|4.48|3|58|1
27|3|Tablet|214.30|0.24|1|0.84|3|31|1
28|3|Smartwatch|53.49|8.90|0|0.13|2|99|1
29|3|Powerbank|291.93|8.37|1|0.96|3|80|1
30|3|Webcam|491.41|8.83|0|1.50|2|75|1
31|4|Sartén|351.81|2.04|1|3.87|2|89|1
32|4|Taza|173.06|6.85|1|0.90|2|50|1
33|4|Cuchillo|342.76|2.38|0|0.18|2|68|1
34|4|Plato|296.20|8.51|0|2.41|3|120|1
35|4|Cucharón|35.62|1.63|0|4.06|2|136|1
36|4|Horno|48.35|6.47|0|2.00|2|24|1
37|4|Tostadora|197.13|8.56|1|1.53|3|74|1
38|4|Batidora|289.04|8.60|0|3.93|2|92|1
39|4|Tabla de picar|319.97|3.73|1|1.82|3|66|1
40|4|Olla a presión|472.46|1.34|1|4.94|2|37|1
41|5|Croquetas|30.70|7.07|0|3.30|2|40|1
42|5|Collar|301.46|7.73|0|2.50|3|58|1
43|5|Juguete|270.09|1.34|1|1.24|3|132|1
